,Year_Built,Size,opex_sqft_month,WalkScore,TransitScore,geohash,EstRentableArea,EstValue,Cap_Rate_Iss,Ownership,AirCon,Pool,Condition,constructionType,parkingType,numberOfBuildings,propertyTaxAmount,taxRate,zrent_median,mos_since_last_sale,Median_Home_Value_2019,Area_per_unit,Revenue_per_sqft_month
247,1985.0,64.0,0.38,95.0,75.0,9q5cb,61906.0,12000000.0,0.0794325666666666,Y,NONE,Yes,UNKNOWN,MASONRY,UNKNOWN,1.0,151126.86,0.012,2950.0,178.3580803968041,658500.0,967.28125,2.13
251,1988.0,248.0,0.49,26.0,25.0,9t9nc,205132.0,22000000.0,0.0522456104545454,N,PACKAGE,Yes,POOR,WOOD/STEEL,UNKNOWN,15.0,143654.84,0.07163285442576246,1450.0,120.00780626386504,156600.0,827.1451612903226,1.27
255,1965.0,97.0,0.57,60.0,1.75,9vfuv,42804.0,4600000.0,0.0608634782608695,Y,CENTRAL,NONE,AVERAGE,UNKNOWN,UNKNOWN,6.0,76390.04,0.07163285442576246,2200.0,186.11183304059557,1067200.0,441.2783505154639,3.3214285714285716
257,1964.0,26.0,0.575,64.0,42.25,9qh0b,12058.0,730000.0,0.1082013698630137,N,REFRIGERATION,Yes,GOOD,WOOD,PAVED,1.0,23391.29,0.005749999999999999,3995.0,340.9569017278376,429000.0,463.7692307692308,2.0966666666666667
263,1989.0,45.0,0.5660000000000001,85.0,35.0,9q5f6,41809.0,4900000.0,0.0761057142857142,Y,CENTRAL,Yes,GOOD,WOOD,UNKNOWN,1.0,60194.5,0.004470588235294119,2789.5,120.00780626386504,190800.0,929.0888888888888,1.28
265,1973.0,120.0,1.57,24.0,27.210526315789473,9tbqp,48318.0,11400000.0,0.0652704745088295,Y,CENTRAL,COMMERCIAL,AVERAGE,STEEL/WOOD,UNKNOWN,7.0,21071.14,0.124,1619.0,61.88751631951299,1556300.0,402.65,2.77
266,1975.0,154.0,0.43,61.0,36.0,djmvj,130885.0,9000000.0,0.0596824305055489,N,CENTRAL,NONE,AVERAGE,WOOD FRAME/METAL,CARPORT,12.0,132615.05,0.017,911.5,94.1181576057817,617900.0,849.9025974025974,0.93
270,1988.0,242.0,0.42111111111111116,25.0,9.214285714285714,9vg5u,190637.0,21700000.0,0.0543414746543778,Y,NONE,Yes,UNKNOWN,UNKNOWN,CARPORT,2.0,342086.29,0.07163285442576246,1414.5,169.5201165782452,190800.0,787.7561983471074,2.5374999999999996
271,1988.0,242.0,0.42111111111111116,25.0,9.214285714285714,9vg5u,190637.0,24300000.0,0.0543289164609053,Y,NONE,Yes,UNKNOWN,UNKNOWN,CARPORT,2.0,342086.29,0.07163285442576246,1546.0,169.5201165782452,190800.0,787.7561983471074,1.34
272,1980.0,232.0,0.5,51.0,8.166666666666666,9vg5q,137264.0,16575000.0,0.0550306208144796,N,CENTRAL,Yes,AVERAGE,WOOD,UNKNOWN,1.0,439524.4,0.07163285442576246,1622.5,3.044418925315981,681800.0,591.6551724137931,1.83
